13-278 spi-1: 34
2031-2297 spi-1: BE
4181-4446 spi-1: FA
6000-6265 spi-1: FF
7985-8250 spi-1: E6
9970-10234 spi-1: FF
11988-12252 spi-1: CF
13972-14237 spi-1: 3C
101663-101928 spi-1: 34
103648-103912 spi-1: BE
105633-105897 spi-1: FA
107617-107882 spi-1: FF
109602-109866 spi-1: E6
111620-111884 spi-1: FF
113604-113869 spi-1: CF
115688-115953 spi-1: 3C
199277-199542 spi-1: 34
201295-201560 spi-1: BE
203280-203544 spi-1: FA
205265-205529 spi-1: FF
207249-207514 spi-1: E6
209234-209500 spi-1: FF
211252-211516 spi-1: CF
213237-213501 spi-1: 3C
298910-299174 spi-1: 34
300927-301192 spi-1: BE
302912-303178 spi-1: FA
304897-305161 spi-1: FF
306881-307146 spi-1: E6
308899-309164 spi-1: FF
310884-311148 spi-1: CF
312869-313133 spi-1: 3C
398542-398806 spi-1: 34
400559-400824 spi-1: BE
402544-402809 spi-1: FA
404661-404926 spi-1: FF
406514-406778 spi-1: E6
408531-408796 spi-1: FF
410516-410782 spi-1: CF
412501-412765 spi-1: 3C
498339-498604 spi-1: 34
500191-500456 spi-1: BE
502176-502441 spi-1: FA
504161-504425 spi-1: FF
506146-506410 spi-1: E6
508163-508428 spi-1: FF
510148-510413 spi-1: CF
512133-512397 spi-1: 3C
597806-598070 spi-1: 34
599824-600088 spi-1: BE
601808-602073 spi-1: FA
603793-604059 spi-1: FF
605778-606042 spi-1: DF
607795-608060 spi-1: FF
609780-610045 spi-1: CF
611765-612029 spi-1: 3C
697438-697702 spi-1: 34
699456-699720 spi-1: BE
701440-701705 spi-1: FA
703458-703723 spi-1: FF
705410-705674 spi-1: DF
707428-707692 spi-1: FF
709445-709710 spi-1: CF
711662-711926 spi-1: 3C
799088-799352 spi-1: 34
801072-801337 spi-1: BE
803057-803322 spi-1: FA
805108-805373 spi-1: FF
807060-807324 spi-1: DF
809044-809309 spi-1: FF
811029-811294 spi-1: CF
813014-813278 spi-1: 3C
896702-896967 spi-1: 34
898819-899084 spi-1: BE
900705-900969 spi-1: FA
902689-902954 spi-1: FF
904674-904940 spi-1: DF
906692-906956 spi-1: FF
908676-908941 spi-1: CF
910661-910926 spi-1: 3C
