13-278 spi-1: 34
1998-2263 spi-1: BE
4016-4280 spi-1: FA
6001-6265 spi-1: FE
7985-8250 spi-1: CB
9970-10236 spi-1: FF
11988-12252 spi-1: CF
13972-14237 spi-1: 3C
101663-101928 spi-1: 34
103648-103912 spi-1: BE
105633-105897 spi-1: FA
107650-107915 spi-1: FE
109635-109900 spi-1: CB
111620-111884 spi-1: FF
113604-113869 spi-1: CF
115589-115854 spi-1: 3C
199277-199542 spi-1: 34
201295-201560 spi-1: BE
203280-203544 spi-1: FA
205265-205529 spi-1: FE
207249-207514 spi-1: CB
209234-209500 spi-1: FF
211252-211516 spi-1: CF
213236-213501 spi-1: 3C
298909-299174 spi-1: 34
300927-301192 spi-1: BE
302912-303176 spi-1: FA
305128-305393 spi-1: FE
306881-307146 spi-1: CB
308866-309132 spi-1: FF
310884-311148 spi-1: CF
312868-313133 spi-1: 3C
398574-398839 spi-1: 34
400559-400824 spi-1: BE
402544-402808 spi-1: FA
404529-404793 spi-1: FE
406513-406778 spi-1: CB
408531-408796 spi-1: FF
410516-410780 spi-1: CF
412500-412765 spi-1: 3C
498173-498438 spi-1: 34
500191-500456 spi-1: BE
502176-502440 spi-1: FA
504161-504425 spi-1: FE
506145-506410 spi-1: CB
508163-508428 spi-1: FF
510181-510445 spi-1: CF
512132-512397 spi-1: 3C
597805-598070 spi-1: 34
599823-600088 spi-1: BE
601808-602072 spi-1: FA
603793-604057 spi-1: FE
605777-606042 spi-1: CB
607795-608060 spi-1: FF
609780-610044 spi-1: CF
611764-612029 spi-1: 3C
699455-699720 spi-1: 34
701440-701704 spi-1: BE
703425-703689 spi-1: FA
705575-705839 spi-1: FE
707427-707692 spi-1: CB
709412-709676 spi-1: FF
711396-711661 spi-1: CF
713381-713646 spi-1: 3C
797069-797334 spi-1: 34
799087-799352 spi-1: BE
801072-801336 spi-1: FA
803057-803321 spi-1: FE
805041-805306 spi-1: CB
807059-807324 spi-1: FF
809044-809308 spi-1: CF
811028-811293 spi-1: 3C
896701-896966 spi-1: 34
898719-898984 spi-1: BE
900704-900968 spi-1: FA
902722-902986 spi-1: FE
904673-904938 spi-1: CB
906691-906956 spi-1: FF
908676-908940 spi-1: CF
910660-910925 spi-1: 3C
996333-996598 spi-1: 34
998351-998616 spi-1: BE
1000336-1000600 spi-1: FA
1002321-1002585 spi-1: FE
1004305-1004570 spi-1: CA
1006323-1006588 spi-1: FF
1008308-1008572 spi-1: CF
1010292-1010557 spi-1: 3C
1095965-1096230 spi-1: 34
1097983-1098248 spi-1: BE
1099968-1100232 spi-1: FA
1101953-1102217 spi-1: FE
1103937-1104202 spi-1: CA
1106054-1106319 spi-1: FF
1107940-1108204 spi-1: CF
1109924-1110189 spi-1: 3C
1195597-1195862 spi-1: 34
1197615-1197880 spi-1: BE
1199765-1200030 spi-1: FA
1201618-1201882 spi-1: FE
1203569-1203834 spi-1: CA
1205587-1205852 spi-1: FF
1207572-1207836 spi-1: CF
1209556-1209821 spi-1: 3C
1295262-1295527 spi-1: 34
1297247-1297512 spi-1: BE
1299265-1299531 spi-1: FA
1301217-1301481 spi-1: FE
1303201-1303466 spi-1: CA
1305219-1305484 spi-1: FF
1307204-1307468 spi-1: CF
1309188-1309453 spi-1: 3C
1394861-1395126 spi-1: 34
1396879-1397144 spi-1: BE
1398864-1399128 spi-1: FA
1400849-1401113 spi-1: FE
1402833-1403098 spi-1: CA
1404884-1405149 spi-1: FF
1406836-1407100 spi-1: CF
1408820-1409085 spi-1: 3C
1494493-1494758 spi-1: 34
1496511-1496776 spi-1: BE
1498496-1498760 spi-1: FA
1500481-1500745 spi-1: FE
1502465-1502730 spi-1: CA
1504483-1504748 spi-1: FF
1506534-1506798 spi-1: CF
1508452-1508717 spi-1: 3C
1594125-1594390 spi-1: 34
1596143-1596408 spi-1: BE
1598128-1598392 spi-1: FA
1600278-1600544 spi-1: FE
1602097-1602362 spi-1: CA
1604115-1604380 spi-1: FF
1606100-1606364 spi-1: CF
1608084-1608349 spi-1: 3C
1695775-1696040 spi-1: 34
1697760-1698024 spi-1: BE
1699745-1700009 spi-1: FA
1701729-1701994 spi-1: FE
1703747-1704012 spi-1: CA
1705732-1705996 spi-1: FF
1707716-1707981 spi-1: CF
1709701-1709966 spi-1: 3C
1793389-1793654 spi-1: 34
1795407-1795672 spi-1: BE
1797392-1797656 spi-1: FA
1799377-1799641 spi-1: FE
1801361-1801626 spi-1: CA
1803379-1803644 spi-1: FF
1805430-1805694 spi-1: CF
1807348-1807613 spi-1: 3C
1893054-1893319 spi-1: 34
1895039-1895304 spi-1: BE
1897024-1897288 spi-1: FA
1899009-1899273 spi-1: FE
1900993-1901258 spi-1: CA
1903011-1903276 spi-1: FF
1904996-1905260 spi-1: CF
1907014-1907278 spi-1: 3C
1990669-1990933 spi-1: 94
1992653-1992918 spi-1: BE
1994671-1994936 spi-1: F9
1996656-1996920 spi-1: FF
1998641-1998905 spi-1: FF
2000625-2000890 spi-1: FF
2002643-2002908 spi-1: AF
2004628-2004892 spi-1: 9C
2092318-2092583 spi-1: B4
2094303-2094568 spi-1: BE
2096288-2096552 spi-1: F9
2098273-2098537 spi-1: FF
2100257-2100522 spi-1: FF
2102275-2102540 spi-1: FF
2104260-2104524 spi-1: AF
2106244-2106509 spi-1: BC
2189966-2190230 spi-1: B4
2191917-2192182 spi-1: BE
2194001-2194266 spi-1: F9
2195920-2196184 spi-1: FF
2197905-2198169 spi-1: FF
