13-277 spi-1: 34
1832-2098 spi-1: BE
3850-4114 spi-1: FB
5835-6099 spi-1: FF
7819-8084 spi-1: BE
9804-10068 spi-1: FF
11822-12086 spi-1: CF
13806-14071 spi-1: 3C
99479-99744 spi-1: 34
101563-101828 spi-1: BE
103482-103748 spi-1: FB
105467-105731 spi-1: FF
107451-107716 spi-1: BE
109436-109701 spi-1: FF
111454-111718 spi-1: CF
113439-113703 spi-1: 3C
199112-199376 spi-1: 34
201096-201361 spi-1: BE
203114-203379 spi-1: FB
205099-205363 spi-1: FF
207084-207348 spi-1: BE
209068-209333 spi-1: FF
211119-211384 spi-1: CF
213071-213335 spi-1: 3C
298744-299008 spi-1: 34
300729-300993 spi-1: BE
302746-303011 spi-1: FB
304731-304996 spi-1: FF
306716-306980 spi-1: BD
308700-308965 spi-1: FF
310718-310983 spi-1: CF
312703-312969 spi-1: 3C
400460-400726 spi-1: 34
402379-402643 spi-1: BE
404363-404628 spi-1: FB
406348-406614 spi-1: FF
408597-408862 spi-1: BD
410350-410615 spi-1: FF
412335-412600 spi-1: CF
414320-414584 spi-1: 3C
498008-498273 spi-1: 34
499993-500257 spi-1: BE
502011-502275 spi-1: FB
503995-504260 spi-1: FF
505980-506245 spi-1: BD
507965-508229 spi-1: FF
509983-510247 spi-1: CF
511967-512232 spi-1: 3C
597640-597905 spi-1: 34
599625-599890 spi-1: BE
601643-601907 spi-1: FB
603628-603892 spi-1: FF
605612-605877 spi-1: BD
607597-607862 spi-1: FF
609615-609879 spi-1: CF
611666-611930 spi-1: 3C
697273-697537 spi-1: 34
699257-699522 spi-1: BE
701275-701540 spi-1: FB
703260-703524 spi-1: FF
705245-705509 spi-1: BD
707229-707494 spi-1: FF
709247-709513 spi-1: CF
711232-711496 spi-1: 3C
796905-797169 spi-1: 34
798890-799154 spi-1: BE
800907-801172 spi-1: FB
802892-803158 spi-1: FF
804877-805141 spi-1: BD
806861-807126 spi-1: FF
808879-809144 spi-1: CF
810930-811195 spi-1: 3C
898687-898952 spi-1: 34
900539-900804 spi-1: BE
902524-902789 spi-1: FB
904509-904773 spi-1: FF
906494-906758 spi-1: BD
908511-908776 spi-1: FF
910496-910761 spi-1: CF
912481-912745 spi-1: 3C
996169-996434 spi-1: 94
998220-998486 spi-1: BE
1000172-1000436 spi-1: FA
1002156-1002421 spi-1: FF
1004141-1004406 spi-1: FF
1006126-1006390 spi-1: FF
1008144-1008408 spi-1: AF
1010128-1010393 spi-1: 9C
1095801-1096066 spi-1: B4
1097819-1098084 spi-1: BE
1099804-1100068 spi-1: FA
1101987-1102253 spi-1: FF
1103773-1104038 spi-1: FF
1105758-1106022 spi-1: FF
1107776-1108040 spi-1: AF
1109760-1110025 spi-1: BC
1195433-1195698 spi-1: B4
1197451-1197716 spi-1: BE
1199436-1199700 spi-1: FA
1201421-1201685 spi-1: FF
1203405-1203670 spi-1: FF
1205390-1205655 spi-1: FF
1207408-1207672 spi-1: AF
1209393-1209657 spi-1: BC
1295066-1295330 spi-1: 94
1297083-1297348 spi-1: BE
1299068-1299333 spi-1: FA
1301053-1301317 spi-1: FF
1303038-1303302 spi-1: FF
1305022-1305287 spi-1: FF
1307040-1307306 spi-1: AF
1309025-1309289 spi-1: 9C
1394698-1394962 spi-1: B4
1396716-1396980 spi-1: BE
1398700-1398965 spi-1: FA
1400685-1400951 spi-1: FF
1402670-1402934 spi-1: FF
1404654-1404919 spi-1: FF
1406672-1406937 spi-1: AF
1408657-1408921 spi-1: BC
1494363-1494629 spi-1: B4
1496513-1496778 spi-1: BE
1498332-1498597 spi-1: FA
1500317-1500582 spi-1: FF
1502302-1502566 spi-1: FF
1504320-1504584 spi-1: FF
1506304-1506569 spi-1: AF
1508289-1508555 spi-1: BC
1591977-1592242 spi-1: B4
1594260-1594524 spi-1: BE
1595980-1596244 spi-1: FA
1597965-1598229 spi-1: FF
1599949-1600214 spi-1: FF
1602166-1602430 spi-1: FF
1603952-1604216 spi-1: AF
1605936-1606201 spi-1: BC
1691610-1691874 spi-1: B4
1693594-1693859 spi-1: BE
1695612-1695877 spi-1: FA
1697597-1697861 spi-1: FF
1699581-1699846 spi-1: FF
1701566-1701831 spi-1: FF
1703584-1703848 spi-1: AF
1705602-1705866 spi-1: BC
1793226-1793491 spi-1: 34
1795244-1795509 spi-1: BE
1797229-1797493 spi-1: FA
1799214-1799478 spi-1: FF
1801198-1801463 spi-1: FF
1803216-1803481 spi-1: FF
1805201-1805465 spi-1: CF
1807185-1807450 spi-1: 3C
1892925-1893189 spi-1: 34
1894876-1895141 spi-1: BE
1896861-1897126 spi-1: FA
1898846-1899110 spi-1: FF
1900830-1901095 spi-1: FF
1902848-1903113 spi-1: FF
1904833-1905099 spi-1: CF
1906818-1907082 spi-1: 3C
1992491-1992755 spi-1: 34
1994509-1994773 spi-1: BE
1996493-1996758 spi-1: FA
1998478-1998742 spi-1: FF
818070-845013 rnsMfd2-1: 0xCA
845013-869721 rnsMfd2-1: 0x34
869721-898900 rnsMfd2-1: 0x1F
898900-923608 rnsMfd2-1: 0xE0
1119444-1146387 rnsMfd2-1: 0xCA
1146387-1171095 rnsMfd2-1: 0x34
1171095-1193566 rnsMfd2-1: 0x28
1193566-1224982 rnsMfd2-1: 0xD7
